epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,718.618,0.72464,0.37944,0.89667,0.94798,0.95,0.97401,0.79939,0.7642,0.4485,0.9533,0.0002378,0.0002378,0.0002378
91,728.192,0.70945,0.3699,0.89034,0.93988,0.96,0.97476,0.78862,0.7878,0.43879,0.95614,0.000218,0.000218,0.000218
92,735.818,0.68046,0.36155,0.89737,0.95058,0.96175,0.97654,0.80185,0.76131,0.41298,0.95134,0.0001982,0.0001982,0.0001982
93,744.286,0.68472,0.35337,0.90947,0.95541,0.965,0.97483,0.79531,0.79138,0.43658,0.95422,0.0001784,0.0001784,0.0001784
94,751.805,0.68159,0.34972,0.89469,0.95083,0.96697,0.97518,0.80534,0.76356,0.41267,0.94688,0.0001586,0.0001586,0.0001586
95,760.336,0.67674,0.34764,0.88504,0.94899,0.965,0.97495,0.80962,0.74606,0.42222,0.94055,0.0001388,0.0001388,0.0001388
96,769.035,0.65618,0.35219,0.87301,0.95494,0.95369,0.97459,0.80242,0.75548,0.42326,0.94673,0.000119,0.000119,0.000119
97,776.449,0.65991,0.34341,0.87761,0.94579,0.96,0.97434,0.80271,0.74766,0.41346,0.94333,9.92e-05,9.92e-05,9.92e-05
98,783.999,0.63834,0.32499,0.87033,0.94138,0.96353,0.97457,0.80864,0.74584,0.41129,0.94158,7.94e-05,7.94e-05,7.94e-05
99,791.428,0.66389,0.33744,0.90118,0.93914,0.965,0.9744,0.80024,0.75198,0.4166,0.94474,5.96e-05,5.96e-05,5.96e-05
100,799.059,0.63762,0.32965,0.88159,0.94807,0.955,0.97478,0.80185,0.75456,0.42079,0.94733,3.98e-05,3.98e-05,3.98e-05
